"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"41","RT @BenPatrickWill: So, this OECD report on combining biological, behavioural, cognitive &amp; brain 'Sciences of Learning' with big data, AI,…",FALSE,0,NA,2019-04-16 20:51:02,FALSE,NA,"1118255501467373568",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","doxtdatorb",4,TRUE,FALSE,NA,NA
"42","How Credit Unions Can Mitigate Risk With Big Data, Analytics and Machine Learning https://t.co/Z3OuJk7Kxw",FALSE,0,NA,2019-04-16 20:50:06,FALSE,NA,"1118255267731398662",NA,"<a href=""https://upflow.co"" rel=""nofollow"">Upflow</a>","ARUN_PRASATH",0,FALSE,FALSE,NA,NA
"43","RT @YwanVanLoon: RT Ronald_vanLoon ""#MachineLearning Summarized in One Picture
 by granvilledsc DataScienceCtrl AnalyticBridge | 

Read mor…",FALSE,0,NA,2019-04-16 20:49:13,FALSE,NA,"1118255045563305991",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MallaahAli",3,TRUE,FALSE,NA,NA
"44","RT @cblitz: So excited to see this release, which I have been working on as product manager for two years.  This is a major step forward fo…",FALSE,0,NA,2019-04-16 20:42:20,FALSE,NA,"1118253313584058368",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Dwight_Bend",7,TRUE,FALSE,NA,NA
"45","ICYMI: Corent Technology has collaborated with MapR to offer innovative new options for customers who want to more… https://t.co/vSRD8mwjdk",FALSE,0,NA,2019-04-16 20:40:05,TRUE,NA,"1118252745935523841",NA,"<a href=""https://www.oktopost.com"" rel=""nofollow"">Oktopost</a>","Scott__Hubbard",0,FALSE,FALSE,NA,NA
"46","RT @sharplm: Paper on powerful ways to predict students' performance - the challenges now are to give appropriate feedback to students and…",FALSE,0,NA,2019-04-16 20:39:00,FALSE,NA,"1118252474727530498",NA,"<a href=""http://pragmatism.club"" rel=""nofollow"">behavioralscience</a>","ScalarHumanity",10,TRUE,FALSE,NA,NA
"47","RT @sharplm: Paper on powerful ways to predict students' performance - the challenges now are to give appropriate feedback to students and…",FALSE,0,NA,2019-04-16 20:36:31,FALSE,NA,"1118251849310720000",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","edtechdev",10,TRUE,FALSE,NA,NA
"48","RT @EnricoCoiera: ""Technological progress, including machine learning, data analytics and artificial intelligence, has altered the potentia…",FALSE,0,NA,2019-04-16 20:29:23,FALSE,NA,"1118250053439614976",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NIA_Nursing",15,TRUE,FALSE,NA,NA
"49","RT @amin_beheshti: Are you interested to use Machine Learning (ML) technology, the way people use spreadsheet?

Read our recent paper (“iSh…",FALSE,0,NA,2019-04-16 20:28:09,FALSE,NA,"1118249741727363072",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","computing_mq",2,TRUE,FALSE,NA,NA
"50","Another quote from @DLabaree's piece:

""(Statistics) allow researchers to be methodologically sophisticated at expl… https://t.co/5GKaoE9oG3",FALSE,0,NA,2019-04-16 20:27:39,TRUE,NA,"1118249615445254144",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Paul_Franz",0,FALSE,FALSE,NA,NA
